"Gene","18034_Epith_Botox8p","18037_Epith_Botox2p","18034_Epith_MPG1p","18037_Epith_MPG4p","18037_Epith_MPG5p","...7","...8","...9"
"TNFRSF4",3.195,2.276,1.705,1.295,1.329,"Up",NA,"'TNFRSF4',"
"CFTR",2.576,1.122,0.686,0.8043,0.6242,"Up",NA,"'CFTR',"
"DCSTAMP",2.502,0.9392,0.6704,0.8445,0.8334,"Up",NA,"'DCSTAMP',"
"GSX1",2.295,1.143,0.923,0.837,0.7085,"Up",NA,"'GSX1',"
"SYT5",2.216,1.295,0.9868,0.6837,0.8747,"Up",NA,"'SYT5',"
"SYNE1",2.076,0.9372,0.6136,1.392,0.7054,"Up",NA,"'SYNE1',"
"FBXL17",2.024,1.574,1.579,0.8922,0.7455,"Up",NA,"'FBXL17',"
"FASLG",2.008,1,0.6005,1.115,0.5863,"Up",NA,"'FASLG',"
"TYROBP",1.98,1.268,1.057,0.9191,0.7258,"Up",NA,"'TYROBP',"
"PRRG3",1.973,1.753,1.711,1.099,0.6542,"Up",NA,"'PRRG3',"
"COL3A1",1.955,1.733,0.602,0.6675,1.429,"Up",NA,"'COL3A1',"
"MYO15A",1.907,1.743,0.6212,1.71,1.629,"Up",NA,"'MYO15A',"
"KLK15",1.84,1.433,1.662,1.503,1.064,"Up",NA,"'KLK15',"
"CAV3",1.721,1.425,0.7919,0.6527,0.8171,"Up",NA,"'CAV3',"
"KIF6",1.685,2.044,0.868,2.215,0.7703,"Up",NA,"'KIF6',"
"EPS8L3",1.682,2.46,0.6719,1.302,0.8472,"Up",NA,"'EPS8L3',"
"B2M",1.674,1.9205,1.7135,2.46983333333333,1.59966666666667,"Up",NA,"'B2M',"
"CES5A",1.661,0.7335,0.6607,0.995,0.7238,"Up",NA,"'CES5A',"
"ANXA3",1.655,1.998,0.8914,1.666,1.896,"Up",NA,"'ANXA3',"
"ACP4",1.623,0.9108,1.298,1.122,0.7647,"Up",NA,"'ACP4',"
"NHS",1.601,0.6789,0.5994,0.874,0.7409,"Up",NA,"'NHS',"
"GLT6D1",1.597,0.7298,0.6967,0.6116,0.8277,"Up",NA,"'GLT6D1',"
"HTR1A",1.579,1.573,0.6808,1.714,0.6368,"Up",NA,"'HTR1A',"
"TSPAN17",1.573,0.8479,0.8278,0.6817,0.7298,"Up",NA,"'TSPAN17',"
"AARS1",1.546,0.7986,0.6205,0.7891,1.099,"Up",NA,"'AARS1',"
"SLC6A6",1.539,1.053,1.112,0.7459,0.7037,"Up",NA,"'SLC6A6',"
"TFRC",1.537,0.6572,0.6043,1.209,1.011,"Up",NA,"'TFRC',"
"INSIG1",1.532,1.29,1.563,0.8876,1.547,"Up",NA,"'INSIG1',"
"MRGPRF",1.531,0.9543,1.153,0.7253,0.8405,"Up",NA,"'MRGPRF',"
"TUBA1C",1.527,1.163,1.477,1.717,0.8458,"Up",NA,"'TUBA1C',"
"HTR2A",1.5165,0.957575,0.82645,0.65045,0.820225,"Up",NA,"'HTR2A',"
"SEL1L2",1.507,1.269,0.6062,0.6517,1.13,"Up",NA,"'SEL1L2',"
"HBS1L",1.501,0.697,0.6015,0.6916,0.8861,"Up",NA,"'HBS1L',"
"PATL1",1.484,1.112,1.502,0.9646,0.7291,"Up",NA,"'PATL1',"
"DYNLT2",1.478,0.7882,0.6896,1.848,1.912,"Up",NA,"'DYNLT2',"
"VPS54",1.472,1.114,0.638,0.8874,0.8177,"Up",NA,"'VPS54',"
"SERINC2",1.467,2.282,1.184,1.58,0.5948,"Up",NA,"'SERINC2',"
"ZDHHC24",1.447,0.977,1.285,0.8226,0.8179,"Up",NA,"'ZDHHC24',"
"PHB2",1.433,1.133,0.5969,1.925,0.6247,"Up",NA,"'PHB2',"
"OTOG",1.419,0.7165,0.7665,0.8022,0.8032,"Up",NA,"'OTOG',"
"SPPL2B",1.417,1.052,0.7872,0.7936,1.202,"Up",NA,"'SPPL2B',"
"SGK1",1.398,3.048,1.915,0.6996,1.297,"Up",NA,"'SGK1',"
"YIF1B",1.398,1.616,0.6544,1.347,0.6821,"Up",NA,"'YIF1B',"
"VPS37B",1.394,1.642,0.9743,0.6343,0.899,"Up",NA,"'VPS37B',"
"SMARCB1",1.387,1.218,0.9797,0.9696,1.108,"Up",NA,"'SMARCB1',"
"CST3",1.384,1.848,1.814,1.927,0.6756,"Up",NA,"'CST3',"
"SLC13A5",1.382,1.457,1.718,0.9958,0.5873,"Up",NA,"'SLC13A5',"
"CDC25C",1.377,0.8325,0.6029,1.001,0.5856,"Up",NA,"'CDC25C',"
"EYA4",1.372,1.594,0.6405,1.146,1.76,"Up",NA,"'EYA4',"
"PHLDA1",1.368,0.6561,0.7146,0.6604,1.243,"Up",NA,"'PHLDA1',"
"IFITM2",1.345,1.326,1.154,1.604,0.8948,"Up",NA,"'IFITM2',"
"SLC28A2",1.334,0.7802,0.7227,0.9214,0.8399,"Up",NA,"'SLC28A2',"
"SENP2",1.328,2.021,0.5885,1.58,0.8739,"Up",NA,"'SENP2',"
"EDNRB",1.31,1.865,0.6741,1.77,0.8235,"Up",NA,"'EDNRB',"
"CSE1L",1.307,2.028,0.8932,1.587,0.7908,"Up",NA,"'CSE1L',"
"RABGGTA",1.302,1.239,0.6379,1.264,1.305,"Up",NA,"'RABGGTA',"
"MAOA",1.301,0.7927,0.5956,0.719,0.8845,"Up",NA,"'MAOA',"
"BTN3A2",1.284,2.167,0.6909,2.045,1.05,"Up",NA,"'BTN3A2',"
"TAAR9",1.271,0.796,0.8601,0.819,0.7114,"Up",NA,"'TAAR9',"
"TSPAN11",1.257,0.9136,0.9643,0.6741,0.6764,"Up",NA,"'TSPAN11',"
"TRAM1L1",1.248,1.124,1.493,0.9588,0.6021,"Up",NA,"'TRAM1L1',"
"COLEC12",1.236,0.6542,0.731,0.7651,0.7717,"Up",NA,"'COLEC12',"
"RNF217",1.234,1.273,1.025,0.8827,1.127,"Up",NA,"'RNF217',"
"CDH22",1.234,1.257,1.229,0.6862,0.8455,"Up",NA,"'CDH22',"
"LEP",1.172,1.319,0.7231,1.276,0.7683,"Up",NA,"'LEP',"
"EDNRA",1.14636666666667,0.812533333333333,0.776233333333333,0.5869,0.842533333333333,"Up",NA,"'EDNRA',"
"NPHP1",1.136,0.9864,0.6559,1.029,0.674,"Up",NA,"'NPHP1',"
"HSPB1",1.12034444444444,0.764066666666667,0.781755555555556,0.866711111111111,1.30555555555556,"Up",NA,"'HSPB1',"
"CAVIN3",1.118,0.8984,1.227,0.6523,0.6526,"Up",NA,"'CAVIN3',"
"BIRC5",1.101,0.8302,1.083,0.799,0.618,"Up",NA,"'BIRC5',"
"CPAMD8",1.086,0.7682,1.067,0.8411,0.7418,"Up",NA,"'CPAMD8',"
"LAPTM5",1.086,0.633,0.9181,0.6917,0.8764,"Up",NA,"'LAPTM5',"
"LPIN2",1.071,0.6789,0.5851,0.9176,0.7707,"Up",NA,"'LPIN2',"
"SREBF1",1.061,0.6381,1.081,0.6893,1.045,"Up",NA,"'SREBF1',"
"SLC1A2",1.055,0.624,0.6168,1.002,0.642,"Up",NA,"'SLC1A2',"
"GABBR1",1.04553333333333,0.8333,0.661633333333333,0.812766666666667,0.6439,"Up",NA,"'GABBR1',"
"POLR2J",-1.313,-0.928,-1.067,-0.6443,-0.5927,"Down",NA,"'POLR2J',"
"DRD4",-0.8586,-0.6041,-0.9213,-0.823,-0.6367,"Down",NA,"'DRD4',"
"GGACT",-0.7451,-0.656,-0.9164,-0.6201,-0.6652,"Down",NA,"'GGACT',"
"MFAP5",-1.377,-0.9942,-1.34,-0.9655,-0.6655,"Down",NA,"'MFAP5',"
"LZTFL1",-1.181,-0.6323,-0.9267,-0.7955,-0.7203,"Down",NA,"'LZTFL1',"
"BMERB1",-1.331,-0.8096,-1.389,-0.9549,-0.8573,"Down",NA,"'BMERB1',"
"EIF1AD",-1.618,-0.784,-0.6455,-0.6161,-0.8782,"Down",NA,"'EIF1AD',"
"E2F3",-1.617,-1.189,-1.619,-1.079,-0.8823,"Down",NA,"'E2F3',"
"PATJ",-1.325,-0.9752,-1.336,-1.137,-0.9143,"Down",NA,"'PATJ',"
"PLEK2",-1.244,-1.006,-1.268,-0.7323,-0.9195,"Down",NA,"'PLEK2',"
"MAPK9",-1.417,-0.8946,-0.8102,-0.8746,-0.9569,"Down",NA,"'MAPK9',"
"MAT1A",-0.637,-0.6513,-0.6757,-1.21,-1.054,"Down",NA,"'MAT1A',"
"MTF2",-1.401,-0.9388,-1.499,-0.8019,-1.09,"Down",NA,"'MTF2',"
"OTOL1",-1.317,-0.9689,-1.126,-0.6626,-1.095,"Down",NA,"'OTOL1',"
"ANKRD26",-1.017,-0.7312,-1.552,-0.8202,-1.114,"Down",NA,"'ANKRD26',"
"NUP50",-1.197,-0.8488,-1.016,-0.9612,-1.115,"Down",NA,"'NUP50',"
"RPS6",-2.374,-1.152,-0.9398,-0.6139,-1.168,"Down",NA,"'RPS6',"
"WDPCP",-1.367,-1.106,-1.517,-0.9612,-1.192,"Down",NA,"'WDPCP',"
"RPL5",-2.297,-1.463,-1.201,-1.133,-1.344,"Down",NA,"'RPL5',"
"CTSE",-2.132,-1.118,-1.451,-0.8891,-1.501,"Down",NA,"'CTSE',"
"WFDC2",-2.867,-2.799,-2.183,-1.483,-2.168,"Down",NA,"'WFDC2',"
"SCGB1D2",-5.272,-4.711,-4.385,-3.979,-3.402,"Down",NA,"'SCGB1D2',"
