"GOID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category"
"GO:0072522","purine-containing compound biosynthetic process","8/145","264/18805",0.0551724137931034,3.92998955067921,NA,0.0010332727588985,0.0965248968937679,0.0930851862621717,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1/ACACA",8,"BP"
"GO:1901293","nucleoside phosphate biosynthetic process","8/145","322/18805",0.0551724137931034,3.22210323409724,NA,0.0035587469016128,0.228021709237129,0.219896047125716,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1/ACACA",8,"BP"
"GO:0001822","kidney development","8/145","325/18805",0.0551724137931034,3.19236074270557,NA,0.00376307013460026,0.228021709237129,0.219896047125716,"UPK3A/HOXB7/HES1/HELLS/ZBTB16/BMP6/DCHS1/PRDM1",8,"BP"
"GO:0072001","renal system development","8/145","336/18805",0.0551724137931034,3.08784893267652,NA,0.00459103616960021,0.251923526398362,0.242946111658874,"UPK3A/HOXB7/HES1/HELLS/ZBTB16/BMP6/DCHS1/PRDM1",8,"BP"
"GO:0023061","signal release","8/145","497/18805",0.0551724137931034,2.08755984180948,NA,0.0389455017108448,0.533512702975862,0.514500723936533,"KISS1/C1QTNF12/SNCAIP/TARDBP/CADPS2/ADRA2A/BMP6/GPR27",8,"BP"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","7/145","68/18805",0.0482758620689655,13.3504056795132,NA,9.17039765830688e-07,0.000685334384997468,0.000660912168075872,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:0015986","proton motive force-driven ATP synthesis","7/145","77/18805",0.0482758620689655,11.7899686520376,NA,2.14711760473458e-06,0.00120345941745373,0.0011605735684539,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:0019646","aerobic electron transport chain","7/145","93/18805",0.0482758620689655,9.76158694846125,NA,7.6334976026652e-06,0.0028523836041959,0.00275073755717093,"NDUFC2/NDUFB1/UQCR11/COX8A/COX6A1/NDUFS5/NDUFAB1",7,"BP"
"GO:0006754","ATP biosynthetic process","7/145","100/18805",0.0482758620689655,9.07827586206897,NA,1.2332450892971e-05,0.00327984603887,0.00316296716458001,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:0042773","ATP synthesis coupled electron transport","7/145","101/18805",0.0482758620689655,8.98839194264254,NA,1.31661973014407e-05,0.00327984603887,0.00316296716458001,"NDUFC2/NDUFB1/UQCR11/COX8A/COX6A1/NDUFS5/NDUFAB1",7,"BP"
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","7/145","101/18805",0.0482758620689655,8.98839194264254,NA,1.31661973014407e-05,0.00327984603887,0.00316296716458001,"NDUFC2/NDUFB1/UQCR11/COX8A/COX6A1/NDUFS5/NDUFAB1",7,"BP"
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process","7/145","111/18805",0.0482758620689655,8.17862690276483,NA,2.43860319636371e-05,0.0052678376082019,0.00508011570836504,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:0009145","purine nucleoside triphosphate biosynthetic process","7/145","112/18805",0.0482758620689655,8.10560344827586,NA,2.58457688181181e-05,0.0052678376082019,0.00508011570836504,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:0009201","ribonucleoside triphosphate biosynthetic process","7/145","117/18805",0.0482758620689655,7.75921013852048,NA,3.42675301939074e-05,0.0059098309765185,0.00569923133751303,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:0022904","respiratory electron transport chain","7/145","117/18805",0.0482758620689655,7.75921013852048,NA,3.42675301939074e-05,0.0059098309765185,0.00569923133751303,"NDUFC2/NDUFB1/UQCR11/COX8A/COX6A1/NDUFS5/NDUFAB1",7,"BP"
"GO:0009142","nucleoside triphosphate biosynthetic process","7/145","125/18805",0.0482758620689655,7.26262068965517,NA,5.23478655801649e-05,0.00838313675933784,0.00808439969185404,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:0022900","electron transport chain","7/145","127/18805",0.0482758620689655,7.14824871029052,NA,5.79148654612918e-05,0.00865634189094775,0.00834786902859603,"NDUFC2/NDUFB1/UQCR11/COX8A/COX6A1/NDUFS5/NDUFAB1",7,"BP"
"GO:0009152","purine ribonucleotide biosynthetic process","7/145","157/18805",0.0482758620689655,5.78234131341972,NA,0.000217970583271076,0.0287464733937502,0.0277220791355288,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:0009260","ribonucleotide biosynthetic process","7/145","173/18805",0.0482758620689655,5.24755830177397,NA,0.000393218952606563,0.0489776050968841,0.0472322648335603,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:0046390","ribose phosphate biosynthetic process","7/145","180/18805",0.0482758620689655,5.04348659003831,NA,0.000498832792951634,0.0588622695682928,0.0567646845829726,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:1902600","proton transmembrane transport","7/145","190/18805",0.0482758620689655,4.77803992740472,NA,0.0006877128552666,0.0700841918867144,0.0675867083596936,"NDUFC2/NDUFB1/ATP5MG/COX8A/NDUFS5/ATP5F1E/ATP5PD",7,"BP"
"GO:0006164","purine nucleotide biosynthetic process","7/145","198/18805",0.0482758620689655,4.58498780912574,NA,0.00087633837511457,0.085423940739429,0.0823798179627152,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:0046034","ATP metabolic process","7/145","230/18805",0.0482758620689655,3.94707646176912,NA,0.00207207760855394,0.165914214227784,0.160001782254504,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:0009165","nucleotide biosynthetic process","7/145","234/18805",0.0482758620689655,3.87960506926024,NA,0.00228296930262859,0.17649714401701,0.170207584304869,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:0009205","purine ribonucleoside triphosphate metabolic process","7/145","254/18805",0.0482758620689655,3.57412435514526,NA,0.00359705881902157,0.228021709237129,0.219896047125716,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:0009144","purine nucleoside triphosphate metabolic process","7/145","261/18805",0.0482758620689655,3.47826661381953,NA,0.00417204332521189,0.239839003464745,0.231292226450343,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:0009199","ribonucleoside triphosphate metabolic process","7/145","261/18805",0.0482758620689655,3.47826661381953,NA,0.00417204332521189,0.239839003464745,0.231292226450343,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:0009141","nucleoside triphosphate metabolic process","7/145","277/18805",0.0482758620689655,3.2773559068841,NA,0.0057461970985352,0.25519221382093,0.246098317849754,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:0009150","purine ribonucleotide metabolic process","7/145","350/18805",0.0482758620689655,2.59379310344828,NA,0.0189729075028121,0.467442402431921,0.450784869991627,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:0009259","ribonucleotide metabolic process","7/145","371/18805",0.0482758620689655,2.4469746258946,NA,0.0251034011402,0.517909322563521,0.49945337740996,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:0019693","ribose phosphate metabolic process","7/145","379/18805",0.0482758620689655,2.39532344645619,NA,0.0277603649029882,0.52680178625617,0.508028953927496,"NDUFC2/NDUFB1/ATP5MG/NDUFS5/ATP5F1E/ATP5PD/NDUFAB1",7,"BP"
"GO:0050863","regulation of T cell activation","7/145","395/18805",0.0482758620689655,2.29829768659974,NA,0.0336358429833725,0.533512702975862,0.514500723936533,"HES1/AGER/HLA-A/ZBTB16/ABL2/LRRC32/PRDM1",7,"BP"
"GO:0060348","bone development","6/145","219/18805",0.0413793103448276,3.55314123760038,NA,0.00709391531647528,0.279027335781361,0.269084063897327,"VKORC1/ZBTB16/ATG9A/PTGER4/BMP6/DCHS1",6,"BP"
"GO:0051222","positive regulation of protein transport","6/145","257/18805",0.0413793103448276,3.02777405071783,NA,0.01479266374148,0.428275766349138,0.41301395562286,"C1QTNF12/TARDBP/OAZ3/TM9SF4/BMP6/GPR27",6,"BP"
"GO:0046883","regulation of hormone secretion","6/145","262/18805",0.0413793103448276,2.96999210318505,NA,0.016118864843066,0.428275766349138,0.41301395562286,"KISS1/C1QTNF12/TARDBP/ADRA2A/BMP6/GPR27",6,"BP"
"GO:1903532","positive regulation of secretion by cell","6/145","297/18805",0.0413793103448276,2.61999303378614,NA,0.0277609449748597,0.52680178625617,0.508028953927496,"KISS1/C1QTNF12/TARDBP/CADPS2/BMP6/GPR27",6,"BP"
"GO:0031348","negative regulation of defense response","6/145","308/18805",0.0413793103448276,2.52642185400806,NA,0.032335543673963,0.533512702975862,0.514500723936533,"C1QTNF12/HLA-B/HLA-A/FEM1A/PTGER4/LDLR",6,"BP"
"GO:0007162","negative regulation of cell adhesion","6/145","312/18805",0.0413793103448276,2.49403183023873,NA,0.0341139070009264,0.533512702975862,0.514500723936533,"MUC1/NEXMIF/PLXNB3/TNC/LRRC32/BMP6",6,"BP"
"GO:0070371","ERK1 and ERK2 cascade","6/145","319/18805",0.0413793103448276,2.43930385904227,NA,0.0373763581810348,0.533512702975862,0.514500723936533,"CARD9/AGER/SPRED1/DUSP4/PTGER4/AKAP12",6,"BP"
"GO:0046879","hormone secretion","6/145","320/18805",0.0413793103448276,2.43168103448276,NA,0.0378581879863178,0.533512702975862,0.514500723936533,"KISS1/C1QTNF12/TARDBP/ADRA2A/BMP6/GPR27",6,"BP"
"GO:0051047","positive regulation of secretion","6/145","321/18805",0.0413793103448276,2.42410570415727,NA,0.0383439852006135,0.533512702975862,0.514500723936533,"KISS1/C1QTNF12/TARDBP/CADPS2/BMP6/GPR27",6,"BP"
"GO:0042886","amide transport","6/145","328/18805",0.0413793103448276,2.37237174095879,NA,0.0418563235834822,0.533512702975862,0.514500723936533,"KISS1/C1QTNF12/UPK3A/TARDBP/ADRA2A/GPR27",6,"BP"
"GO:0009914","hormone transport","6/145","331/18805",0.0413793103448276,2.3508698822794,NA,0.043421891239106,0.533512702975862,0.514500723936533,"KISS1/C1QTNF12/TARDBP/ADRA2A/BMP6/GPR27",6,"BP"
"GO:1904951","positive regulation of establishment of protein localization","6/145","331/18805",0.0413793103448276,2.3508698822794,NA,0.043421891239106,0.533512702975862,0.514500723936533,"C1QTNF12/TARDBP/OAZ3/TM9SF4/BMP6/GPR27",6,"BP"
"GO:0033108","mitochondrial respiratory chain complex assembly","5/145","122/18805",0.0344827586206897,5.31514980214811,NA,0.00256059315295803,0.191361661631063,0.184542397760554,"NDUFC2/NDUFB1/COX14/NDUFS5/NDUFAB1",5,"BP"
"GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway","5/145","140/18805",0.0344827586206897,4.63177339901478,NA,0.0046144802166601,0.251923526398362,0.242946111658874,"KISS1/LTB4R/ABL2/ADRA2A/GPR27",5,"BP"
"GO:0046887","positive regulation of hormone secretion","5/145","146/18805",0.0344827586206897,4.44142654700047,NA,0.00550386340957769,0.25519221382093,0.246098317849754,"KISS1/C1QTNF12/TARDBP/BMP6/GPR27",5,"BP"
"GO:0046631","alpha-beta T cell activation","5/145","201/18805",0.0344827586206897,3.22611082518442,NA,0.0198791961961016,0.484447368170215,0.467183855684127,"AGER/HLA-A/ZBTB16/PTGER4/PRDM1",5,"BP"
"GO:0051650","establishment of vesicle localization","5/145","204/18805",0.0344827586206897,3.17866801893171,NA,0.0210396633179565,0.486298197514004,0.468968729843544,"BLOC1S1/TANC2/CADPS2/TRAPPC10/SPG11",5,"BP"
"GO:0090276","regulation of peptide hormone secretion","5/145","204/18805",0.0344827586206897,3.17866801893171,NA,0.0210396633179565,0.486298197514004,0.468968729843544,"KISS1/C1QTNF12/TARDBP/ADRA2A/GPR27",5,"BP"
"GO:0002791","regulation of peptide secretion","5/145","207/18805",0.0344827586206897,3.13260036648342,NA,0.0222435620036353,0.49315758405311,0.475583678879331,"KISS1/C1QTNF12/TARDBP/ADRA2A/GPR27",5,"BP"
"GO:0090087","regulation of peptide transport","5/145","209/18805",0.0344827586206897,3.10262332948358,NA,0.0230705553017423,0.502176553267051,0.484281252833712,"KISS1/C1QTNF12/TARDBP/ADRA2A/GPR27",5,"BP"
"GO:0009952","anterior/posterior pattern specification","5/145","219/18805",0.0344827586206897,2.96095103133365,NA,0.0275037883644571,0.52680178625617,0.508028953927496,"HOXB7/HES1/HOXC4/ZBTB16/COBL",5,"BP"
"GO:0051648","vesicle localization","5/145","224/18805",0.0344827586206897,2.89485837438424,NA,0.0299103929173318,0.533512702975862,0.514500723936533,"BLOC1S1/TANC2/CADPS2/TRAPPC10/SPG11",5,"BP"
"GO:0030072","peptide hormone secretion","5/145","250/18805",0.0344827586206897,2.59379310344828,NA,0.0445391334564992,0.533512702975862,0.514500723936533,"KISS1/C1QTNF12/TARDBP/ADRA2A/GPR27",5,"BP"
"GO:0051924","regulation of calcium ion transport","5/145","253/18805",0.0344827586206897,2.56303666348644,NA,0.0464599592168134,0.533512702975862,0.514500723936533,"EFHB/HES1/SPG11/ADRA2A/NOS1AP",5,"BP"
"GO:0002790","peptide secretion","5/145","257/18805",0.0344827586206897,2.52314504226486,NA,0.0490969770161257,0.533512702975862,0.514500723936533,"KISS1/C1QTNF12/TARDBP/ADRA2A/GPR27",5,"BP"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone","4/145","51/18805",0.0275862068965517,10.1717376605815,NA,0.000639641242307635,0.0682893173930342,0.0658557950726759,"NDUFC2/NDUFB1/NDUFS5/NDUFAB1",4,"BP"
"GO:0010257","NADH dehydrogenase complex assembly","4/145","63/18805",0.0275862068965517,8.23426382047072,NA,0.00141961057632594,0.117880256004546,0.113679536989219,"NDUFC2/NDUFB1/NDUFS5/NDUFAB1",4,"BP"
"GO:0032981","mitochondrial respiratory chain complex I assembly","4/145","63/18805",0.0275862068965517,8.23426382047072,NA,0.00141961057632594,0.117880256004546,0.113679536989219,"NDUFC2/NDUFB1/NDUFS5/NDUFAB1",4,"BP"
"GO:0001823","mesonephros development","4/145","105/18805",0.0275862068965517,4.94055829228243,NA,0.00888792230305911,0.332112030057642,0.320277059833042,"HOXB7/HES1/ZBTB16/DCHS1",4,"BP"
"GO:0090277","positive regulation of peptide hormone secretion","4/145","113/18805",0.0275862068965517,4.59078425389075,NA,0.0114220221385538,0.388002630827842,0.374175972449593,"KISS1/C1QTNF12/TARDBP/GPR27",4,"BP"
"GO:0002793","positive regulation of peptide secretion","4/145","115/18805",0.0275862068965517,4.51094452773613,NA,0.012120882018118,0.394874451662165,0.38080291267857,"KISS1/C1QTNF12/TARDBP/GPR27",4,"BP"
"GO:0046634","regulation of alpha-beta T cell activation","4/145","123/18805",0.0275862068965517,4.21754976170451,NA,0.0151883228997913,0.428275766349138,0.41301395562286,"AGER/HLA-A/ZBTB16/PRDM1",4,"BP"
"GO:0002456","T cell mediated immunity","4/145","137/18805",0.0275862068965517,3.78655927510697,NA,0.0216498503247424,0.49315758405311,0.475583678879331,"HLA-B/AGER/HLA-A/BTN3A2",4,"BP"
"GO:0048565","digestive tract development","4/145","138/18805",0.0275862068965517,3.75912043978011,NA,0.0221664947418795,0.49315758405311,0.475583678879331,"HES1/COBL/DCHS1/PRDM1",4,"BP"
"GO:0016482","cytosolic transport","4/145","141/18805",0.0275862068965517,3.67913915382734,NA,0.0237614718014914,0.506865412350372,0.488803022192433,"DENND2A/TANC2/TRAPPC10/TBC1D5",4,"BP"
"GO:0050714","positive regulation of protein secretion","4/145","150/18805",0.0275862068965517,3.4583908045977,NA,0.0289566888910862,0.532138495850945,0.51317548733642,"C1QTNF12/TARDBP/BMP6/GPR27",4,"BP"
"GO:0071333","cellular response to glucose stimulus","4/145","150/18805",0.0275862068965517,3.4583908045977,NA,0.0289566888910862,0.532138495850945,0.51317548733642,"C1QTNF12/AGER/ADRA2A/GPR27",4,"BP"
"GO:0055123","digestive system development","4/145","151/18805",0.0275862068965517,3.43548755423613,NA,0.0295723144483883,0.533512702975862,0.514500723936533,"HES1/COBL/DCHS1/PRDM1",4,"BP"
"GO:0071331","cellular response to hexose stimulus","4/145","153/18805",0.0275862068965517,3.39057922019382,NA,0.0308267719640857,0.533512702975862,0.514500723936533,"C1QTNF12/AGER/ADRA2A/GPR27",4,"BP"
"GO:0071326","cellular response to monosaccharide stimulus","4/145","155/18805",0.0275862068965517,3.346829810901,NA,0.0321122518226253,0.533512702975862,0.514500723936533,"C1QTNF12/AGER/ADRA2A/GPR27",4,"BP"
